# Session Metadata: JSY61pAV,local-floor,meters,right-handed,+Y,-Z,
session_id,type,UnixTime(ms),PosX,PosY,PosZ,OrientX,OrientY,OrientZ,OrientW,trackingState
JSY61pAV,pose,1764045515865,0.03461844,1.35542369,0.02677077,0.05495585,0.91283484,0.03385347,0.40319518,normal
JSY61pAV,pose,1764045515875,0.03455210,1.35542977,0.02684858,0.05482979,0.91295405,0.03388216,0.40293995,normal
JSY61pAV,pose,1764045515886,0.03451765,1.35540915,0.02690762,0.05477377,0.91309159,0.03393642,0.40263123,normal
JSY61pAV,pose,1764045515898,0.03450841,1.35537452,0.02694869,0.05490985,0.91321476,0.03394354,0.40233262,normal
JSY61pAV,pose,1764045515909,0.03449672,1.35535181,0.02698299,0.05489651,0.91331046,0.03377793,0.40213110,normal
JSY61pAV,pose,1764045515920,0.03446954,1.35537064,0.02701661,0.05492117,0.91335182,0.03339458,0.40206582,normal
JSY61pAV,pose,1764045515931,0.03442448,1.35541713,0.02705243,0.05494317,0.91337329,0.03307250,0.40204066,normal
JSY61pAV,pose,1764045515943,0.03438085,1.35547453,0.02709219,0.05488474,0.91341878,0.03277313,0.40196979,normal
JSY61pAV,pose,1764045515954,0.03435892,1.35551524,0.02713996,0.05487766,0.91356072,0.03248749,0.40167129,normal
JSY61pAV,pose,1764045515965,0.03438354,1.35556614,0.02719671,0.05512572,0.91371221,0.03225878,0.40131100,normal
JSY61pAV,pose,1764045515976,0.03443050,1.35561776,0.02726433,0.05553313,0.91378282,0.03203165,0.40111220,normal
JSY61pAV,pose,1764045515988,0.03447443,1.35566640,0.02732959,0.05566781,0.91386849,0.03175893,0.40092001,normal
JSY61pAV,pose,1764045515999,0.03450060,1.35569859,0.02736741,0.05564851,0.91399643,0.03154346,0.40064795,normal
JSY61pAV,pose,1764045516010,0.03451979,1.35571837,0.02739033,0.05563658,0.91408815,0.03139778,0.40045176,normal
JSY61pAV,pose,1764045516021,0.03453737,1.35573614,0.02740994,0.05561448,0.91420209,0.03123631,0.40020727,normal
JSY61pAV,pose,1764045516032,0.03455204,1.35574841,0.02743816,0.05559016,0.91428689,0.03119121,0.40002040,normal
JSY61pAV,pose,1764045516043,0.03457677,1.35575497,0.02747402,0.05561615,0.91442636,0.03112781,0.39970280,normal
JSY61pAV,pose,1764045516055,0.03461033,1.35577589,0.02752227,0.05568722,0.91452417,0.03090324,0.39948650,normal
JSY61pAV,pose,1764045516066,0.03466249,1.35579520,0.02756950,0.05575706,0.91467643,0.03063499,0.39914870,normal
JSY61pAV,pose,1764045516077,0.03474498,1.35581636,0.02762997,0.05576556,0.91486463,0.03036994,0.39873624,normal
JSY61pAV,pose,1764045516088,0.03484774,1.35584563,0.02771449,0.05590201,0.91505272,0.03016541,0.39830080,normal
JSY61pAV,pose,1764045516099,0.03493726,1.35589051,0.02781257,0.05608947,0.91531136,0.02987271,0.39770179,normal
JSY61pAV,pose,1764045516110,0.03502393,1.35595804,0.02793375,0.05625843,0.91556297,0.02955184,0.39712230,normal
JSY61pAV,pose,1764045516123,0.03511894,1.35602462,0.02806327,0.05658357,0.91585024,0.02919363,0.39643961,normal
JSY61pAV,pose,1764045516132,0.03523648,1.35609823,0.02819613,0.05695682,0.91611759,0.02885875,0.39579244,normal
JSY61pAV,pose,1764045516144,0.03537172,1.35618484,0.02833015,0.05740149,0.91637930,0.02861099,0.39513981,normal
JSY61pAV,pose,1764045516155,0.03550845,1.35626638,0.02846622,0.05782685,0.91659740,0.02826568,0.39459640,normal
JSY61pAV,pose,1764045516166,0.03564829,1.35634744,0.02859217,0.05812963,0.91682625,0.02798072,0.39404017,normal
JSY61pAV,pose,1764045516177,0.03581148,1.35639697,0.02872744,0.05850659,0.91705117,0.02778499,0.39347442,normal
JSY61pAV,pose,1764045516188,0.03598487,1.35641932,0.02888554,0.05866612,0.91736036,0.02727865,0.39276473,normal
JSY61pAV,pose,1764045516199,0.03615385,1.35645795,0.02905843,0.05878818,0.91773862,0.02699550,0.39188139,normal
JSY61pAV,pose,1764045516211,0.03636456,1.35654020,0.02931097,0.05911466,0.91816490,0.02643191,0.39087086,normal
JSY61pAV,pose,1764045516222,0.03655237,1.35665953,0.02951500,0.05958219,0.91862214,0.02604841,0.38974967,normal
JSY61pAV,pose,1764045516233,0.03674561,1.35676003,0.02975002,0.06008445,0.91911058,0.02552541,0.38855379,normal
JSY61pAV,pose,1764045516244,0.03697640,1.35687339,0.02997568,0.06048617,0.91961888,0.02513376,0.38731231,normal
JSY61pAV,pose,1764045516255,0.03721082,1.35696769,0.03025374,0.06086000,0.92016877,0.02474820,0.38597022,normal
JSY61pAV,pose,1764045516266,0.03745937,1.35708374,0.03049561,0.06131271,0.92074904,0.02462212,0.38452010,normal
JSY61pAV,pose,1764045516278,0.03768843,1.35716414,0.03076819,0.06175722,0.92127624,0.02434122,0.38320184,normal
JSY61pAV,pose,1764045516289,0.03795487,1.35724175,0.03102949,0.06206166,0.92177710,0.02397860,0.38196906,normal
JSY61pAV,pose,1764045516300,0.03821480,1.35731214,0.03128979,0.06216611,0.92226901,0.02358390,0.38078741,normal
JSY61pAV,pose,1764045516311,0.03846395,1.35735941,0.03153905,0.06240943,0.92275485,0.02336479,0.37958218,normal
JSY61pAV,pose,1764045516322,0.03870279,1.35740644,0.03180024,0.06260996,0.92329556,0.02295553,0.37825699,normal
JSY61pAV,pose,1764045516333,0.03894114,1.35749876,0.03208402,0.06281624,0.92390333,0.02257660,0.37675862,normal
JSY61pAV,pose,1764045516344,0.03918028,1.35759604,0.03239450,0.06304158,0.92454853,0.02214124,0.37516067,normal
JSY61pAV,pose,1764045516356,0.03945482,1.35768574,0.03268865,0.06335580,0.92524036,0.02180170,0.37341800,normal
JSY61pAV,pose,1764045516367,0.03973764,1.35776901,0.03300592,0.06373171,0.92595461,0.02131683,0.37160720,normal
JSY61pAV,pose,1764045516378,0.04002410,1.35785466,0.03333560,0.06407744,0.92671405,0.02090567,0.36967297,normal
JSY61pAV,pose,1764045516389,0.04031354,1.35794258,0.03368589,0.06430267,0.92747611,0.02045819,0.36774269,normal
JSY61pAV,pose,1764045516400,0.04059798,1.35802603,0.03403392,0.06438485,0.92824030,0.02005623,0.36581728,normal
JSY61pAV,pose,1764045516411,0.04089916,1.35807055,0.03438738,0.06442288,0.92900541,0.01964513,0.36388558,normal
JSY61pAV,pose,1764045516425,0.04121774,1.35812598,0.03470126,0.06446975,0.92984842,0.01938691,0.36173156,normal
JSY61pAV,pose,1764045516433,0.04154539,1.35817456,0.03503886,0.06465175,0.93061473,0.01923256,0.35973113,normal
JSY61pAV,pose,1764045516444,0.04187089,1.35821283,0.03535590,0.06475815,0.93138149,0.01899628,0.35773460,normal
JSY61pAV,pose,1764045516456,0.04219466,1.35824108,0.03566840,0.06488321,0.93211350,0.01875699,0.35581283,normal
JSY61pAV,pose,1764045516467,0.04249978,1.35828149,0.03599742,0.06500807,0.93287482,0.01841692,0.35380692,normal
JSY61pAV,pose,1764045516478,0.04282010,1.35833395,0.03634599,0.06508672,0.93357433,0.01817687,0.35195496,normal
JSY61pAV,pose,1764045516490,0.04311973,1.35835123,0.03667572,0.06508828,0.93431296,0.01790133,0.35000334,normal
