UnixTime(ms),PosX,PosY,PosZ,OrientX,OrientY,OrientZ,OrientW
1761620383085,-0.00129986,1.69496930,0.04777431,0.11090067,0.01452667,0.03160961,0.99322246
1761620383095,-0.00130534,1.69486087,0.04790878,0.11116941,0.01449016,0.03195431,0.99318192
1761620383106,-0.00127363,1.69477921,0.04798222,0.11115977,0.01454356,0.03206319,0.99317871
1761620383117,-0.00125265,1.69469553,0.04805851,0.11100167,0.01454353,0.03214428,0.99319377
1761620383129,-0.00122905,1.69460938,0.04812527,0.11065448,0.01457512,0.03222791,0.99322934
1761620383140,-0.00120640,1.69451556,0.04821301,0.11019894,0.01462308,0.03226452,0.99327809
1761620383151,-0.00119209,1.69442504,0.04828262,0.10974472,0.01460808,0.03228995,0.99332777
1761620383163,-0.00120068,1.69433337,0.04837561,0.10946329,0.01466441,0.03232579,0.99335683
1761620383174,-0.00124121,1.69425466,0.04848385,0.10930812,0.01464459,0.03231409,0.99337459
1761620383185,-0.00126481,1.69419689,0.04859304,0.10920626,0.01462153,0.03238235,0.99338391
1761620383197,-0.00124788,1.69417699,0.04867172,0.10915785,0.01445052,0.03247258,0.99338878
1761620383208,-0.00119686,1.69416519,0.04875374,0.10914740,0.01431522,0.03258874,0.99338809
1761620383219,-0.00113869,1.69414360,0.04882336,0.10910190,0.01409489,0.03271252,0.99339217
1761620383230,-0.00107503,1.69411632,0.04889250,0.10897309,0.01387331,0.03285768,0.99340464
1761620383242,-0.00101542,1.69408327,0.04895592,0.10894647,0.01362655,0.03299713,0.99340635
1761620383253,-0.00095224,1.69404982,0.04900599,0.10918362,0.01344377,0.03304091,0.99338135
1761620383264,-0.00094676,1.69402143,0.04908085,0.10942665,0.01331091,0.03312227,0.99335368
1761620383275,-0.00097704,1.69399067,0.04915142,0.10966186,0.01311055,0.03315918,0.99332918
1761620383286,-0.00100446,1.69395621,0.04922581,0.10996304,0.01306614,0.03321043,0.99329476
1761620383298,-0.00098801,1.69392388,0.04925060,0.11010034,0.01295111,0.03324317,0.99327996
1761620383309,-0.00095081,1.69388585,0.04926300,0.11002160,0.01291645,0.03317742,0.99329133
1761620383320,-0.00092602,1.69384223,0.04926300,0.10992156,0.01283908,0.03317978,0.99330333
1761620383331,-0.00091481,1.69379510,0.04924917,0.10969411,0.01279682,0.03319642,0.99332847
1761620383342,-0.00090551,1.69373412,0.04923058,0.10929307,0.01288885,0.03338380,0.99336520
1761620383353,-0.00092173,1.69364976,0.04920006,0.10876927,0.01301151,0.03364189,0.99341239
1761620383365,-0.00096965,1.69353192,0.04916239,0.10823385,0.01323542,0.03389748,0.99345922
1761620383376,-0.00103402,1.69341284,0.04912186,0.10778470,0.01357719,0.03407790,0.99349726
1761620383387,-0.00111246,1.69330600,0.04907751,0.10754989,0.01397139,0.03422549,0.99351217
1761620383398,-0.00119281,1.69323968,0.04902029,0.10735046,0.01440680,0.03442445,0.99352065
1761620383409,-0.00127959,1.69318145,0.04896498,0.10717773,0.01488906,0.03465778,0.99352407
1761620383420,-0.00137877,1.69310969,0.04892778,0.10697584,0.01547396,0.03492904,0.99352740
1761620383432,-0.00149441,1.69302161,0.04889250,0.10667719,0.01619813,0.03530011,0.99353485
1761620383443,-0.00162697,1.69291551,0.04885292,0.10633497,0.01696998,0.03575102,0.99354253
1761620383454,-0.00178003,1.69280606,0.04881573,0.10597650,0.01785192,0.03619388,0.99354934
1761620383465,-0.00198865,1.69274465,0.04871321,0.10577788,0.01882976,0.03660643,0.99353734
1761620383476,-0.00223565,1.69270233,0.04858351,0.10547611,0.01980138,0.03705721,0.99353382
1761620383487,-0.00249958,1.69266222,0.04846287,0.10505912,0.02087295,0.03736621,0.99354450
1761620383499,-0.00272608,1.69255736,0.04837942,0.10474184,0.02197418,0.03749327,0.99354946
1761620383510,-0.00295615,1.69240195,0.04829073,0.10441296,0.02310732,0.03756459,0.99355568
1761620383521,-0.00318193,1.69223940,0.04819775,0.10409469,0.02421090,0.03763079,0.99356029
1761620383532,-0.00339699,1.69207031,0.04813385,0.10362376,0.02542112,0.03764029,0.99357893
1761620383543,-0.00361919,1.69190222,0.04805326,0.10310235,0.02662426,0.03767195,0.99360046
1761620383554,-0.00384331,1.69173878,0.04796219,0.10254790,0.02793849,0.03759071,0.99362483
1761620383566,-0.00399423,1.69154204,0.04782391,0.10199030,0.02914456,0.03748966,0.99365140
1761620383577,-0.00415087,1.69137495,0.04769659,0.10142168,0.03035793,0.03722044,0.99368339
1761620383588,-0.00429893,1.69124682,0.04758215,0.10085013,0.03149158,0.03692812,0.99371719
1761620383599,-0.00451040,1.69112448,0.04748678,0.10043035,0.03247607,0.03655534,0.99374180
1761620383610,-0.00471401,1.69103273,0.04740763,0.09999245,0.03342700,0.03615538,0.99376905
1761620383621,-0.00491214,1.69092090,0.04731703,0.09962894,0.03421274,0.03581182,0.99379126
1761620383632,-0.00510955,1.69083419,0.04725552,0.09914772,0.03492147,0.03556071,0.99382376
1761620383644,-0.00530553,1.69073546,0.04716682,0.09874168,0.03554702,0.03529052,0.99385163
1761620383655,-0.00548601,1.69062096,0.04709768,0.09831241,0.03613573,0.03511829,0.99387906
1761620383666,-0.00571680,1.69055811,0.04696465,0.09784323,0.03660154,0.03507572,0.99390982
1761620383677,-0.00596905,1.69052271,0.04683018,0.09734190,0.03700557,0.03510444,0.99394307
1761620383688,-0.00622129,1.69049022,0.04667425,0.09686320,0.03734672,0.03527037,0.99397120
1761620383699,-0.00639844,1.69040228,0.04660082,0.09647664,0.03765189,0.03548300,0.99398971
1761620383710,-0.00656152,1.69032742,0.04653835,0.09616306,0.03793431,0.03572519,0.99400069
1761620383721,-0.00671959,1.69026355,0.04646492,0.09599738,0.03816080,0.03603709,0.99399677
1761620383732,-0.00686789,1.69021819,0.04639912,0.09589828,0.03841361,0.03638197,0.99398404
1761620383743,-0.00702024,1.69017854,0.04632521,0.09587019,0.03864366,0.03671496,0.99396559
1761620383754,-0.00716758,1.69014473,0.04625034,0.09588017,0.03889811,0.03702126,0.99394334
1761620383766,-0.00734925,1.69011171,0.04613733,0.09585248,0.03917158,0.03726000,0.99392635
1761620383777,-0.00752616,1.69008093,0.04602623,0.09590317,0.03941906,0.03745273,0.99390443
1761620383788,-0.00769544,1.69004900,0.04590607,0.09590113,0.03959790,0.03760480,0.99389177
1761620383799,-0.00781345,1.69003283,0.04584932,0.09593576,0.03981549,0.03769573,0.99387629
1761620383810,-0.00793767,1.69002423,0.04578781,0.09604777,0.04001311,0.03770735,0.99385710
1761620383821,-0.00804710,1.69001150,0.04571819,0.09613949,0.04016075,0.03780822,0.99383844
1761620383833,-0.00815916,1.68999841,0.04565430,0.09616421,0.04027293,0.03787658,0.99382891
1761620383844,-0.00825691,1.68998372,0.04559994,0.09610647,0.04036370,0.03791870,0.99382921
1761620383855,-0.00835013,1.68997526,0.04555321,0.09602753,0.04041735,0.03794312,0.99383372
1761620383866,-0.00846767,1.69002445,0.04552078,0.09593990,0.04038251,0.03796017,0.99384295
